index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
6299,9.3,27,72778.13,3560.416,9767.158,644.835,644.835,1065.897,776.308,4.503,22.36,1.05,88.103,1.744,0.976,0.998
7626,4.161,12,14720.383,1547.456,7749.578,113.758,113.758,633.536,604.449,1.661,8.902,1.023,16.887,0.334,0.982,0.99
8777,3.144,9,8376.011,1386.74,7061.471,60.318,60.318,578.696,577.657,1.391,7.496,1.02,12.026,0.238,0.987,0.988
5399,9.3,27,72760.689,3560.377,9752.078,644.946,644.946,1088.386,780.617,4.525,22.934,1.05,90.652,1.795,0.973,0.976
1571,6.175,18,29796.579,2307.265,8840.385,246.268,246.268,777.317,670.917,2.497,13.121,1.03,34.304,0.679,0.956,0.993
2043,1.138,3,2054.985,1310.522,6685.21,5.416,5.416,526.787,556.073,1.158,6.228,1.019,29.691,0.177,0.958,0.994
8101,2.088,6,5699.822,1393.556,6803.986,31.386,31.386,566.735,567.896,1.3,6.985,1.02,0.0,0.209,0.984,0.991
1545,7.148,21,38979.556,2678.078,9136.981,332.052,332.052,835.138,695.462,2.958,15.442,1.035,44.449,0.88,0.956,0.99
7157,3.144,9,8377.039,1386.746,7082.022,60.327,60.327,580.182,578.844,1.39,7.478,1.02,12.074,0.239,0.98,0.99
3936,4.161,12,14723.532,1547.469,7797.767,113.795,113.795,635.595,606.946,1.656,8.834,1.023,16.927,0.335,0.966,0.996
7657,8.206,24,50993.692,3087.483,9307.057,438.02,438.02,911.796,728.653,3.585,18.368,1.042,59.431,1.177,0.982,0.993
3088,2.088,6,3904.027,1344.988,6791.985,22.437,22.437,549.978,565.76,1.231,6.685,1.019,22.381,0.196,0.963,0.98
485,9.3,27,72763.295,3560.399,9776.934,645.042,645.042,1112.526,788.206,4.499,22.797,1.049,92.29,1.827,0.952,0.976
11655,1.138,3,1624.303,1375.08,6643.505,8.827,8.827,472.165,545.848,1.152,6.144,1.019,2.517,0.101,0.999,0.996
5162,6.175,18,29761.097,2306.789,8804.729,245.969,245.969,787.504,670.714,2.509,13.379,1.03,35.096,0.695,0.972,0.976
4518,1.138,3,4819.901,1317.775,6640.585,5.792,5.792,609.042,567.099,1.249,6.796,1.019,31.316,0.272,0.969,0.983
8681,6.175,18,29761.285,2306.847,8790.186,245.937,245.937,778.703,666.924,2.514,13.394,1.03,34.647,0.686,0.987,0.977
3395,3.144,9,8378.826,1386.755,7113.054,60.35,60.35,588.905,582.566,1.389,7.485,1.02,12.408,0.246,0.964,0.988
720,1.138,3,458.884,1358.636,6681.953,8.086,8.086,463.941,550.601,1.103,5.972,1.019,1.659,0.079,0.953,0.977
11644,8.206,24,50992.91,3087.443,9298.295,437.989,437.989,899.692,723.308,3.598,18.41,1.042,58.676,1.162,0.999,0.994
8858,3.144,9,8376.937,1386.745,7084.201,60.327,60.327,571.675,576.367,1.39,7.432,1.021,11.728,0.232,0.987,0.997
3290,6.175,18,29775.659,2307.3,8813.822,246.053,246.053,791.732,672.689,2.506,13.367,1.03,35.308,0.699,0.964,0.976
3470,6.175,18,29795.16,2307.287,8834.746,246.253,246.253,769.904,668.305,2.5,13.097,1.03,33.885,0.671,0.964,0.996
11663,9.3,27,72772.427,3560.393,9740.557,645.107,645.107,1042.821,768.536,4.534,22.564,1.052,86.552,1.713,0.999,0.996
7363,2.088,6,4604.679,1393.539,6800.716,31.357,31.357,541.08,564.741,1.266,6.81,1.02,0.0,0.175,0.981,0.987
1469,3.144,9,8379.196,1386.757,7116.004,60.353,60.353,597.421,585.206,1.389,7.525,1.02,12.745,0.252,0.956,0.982
5237,9.3,27,72768.98,3560.396,9760.081,644.895,644.895,1082.37,779.748,4.514,22.708,1.05,89.87,1.779,0.972,0.984
7617,4.161,12,14720.251,1547.456,7747.604,113.742,113.742,634.395,604.607,1.661,8.911,1.023,16.928,0.335,0.982,0.989
8753,6.175,18,29761.912,2306.789,8798.269,245.956,245.956,769.85,665.127,2.512,13.284,1.03,34.062,0.674,0.987,0.985
10511,9.3,27,72774.66,3560.398,9747.683,644.889,644.889,1046.408,769.953,4.525,22.478,1.052,86.723,1.717,0.994,0.998
3658,5.14,15,21634.374,1924.334,8494.769,175.277,175.277,707.822,638.962,2.079,11.037,1.026,25.115,0.497,0.965,0.991
2500,8.206,24,50994.708,3087.543,9318.871,437.967,437.967,927.722,735.77,3.569,18.307,1.041,60.402,1.196,0.96,0.992
7376,6.175,18,29763.148,2306.83,8807.58,245.981,245.981,769.611,665.883,2.508,13.232,1.03,33.996,0.673,0.981,0.988
4121,9.3,27,72774.285,3560.413,9770.641,645.086,645.086,1082.764,780.684,4.501,22.513,1.05,89.632,1.774,0.967,0.99
5636,3.144,9,8376.461,1386.743,7062.387,60.314,60.314,593.273,582.019,1.391,7.57,1.02,12.611,0.25,0.974,0.977
152,9.3,27,72775.879,3560.436,9790.704,645.046,645.046,1101.598,786.887,4.478,22.377,1.049,90.872,1.799,0.95,0.991
366,7.148,21,38977.226,2678.075,9138.969,332.147,332.147,839.597,697.225,2.956,15.443,1.035,44.711,0.885,0.951,0.989
10801,2.088,6,5598.474,1346.706,6718.893,22.76,22.76,583.522,565.869,1.286,7.006,1.019,23.003,0.244,0.996,0.979
5691,4.161,12,14721.094,1547.456,7753.645,113.764,113.764,643.201,607.278,1.661,8.957,1.022,17.326,0.343,0.974,0.983
2862,1.138,3,334.565,1347.206,6664.292,7.401,7.401,458.299,547.57,1.097,5.925,1.019,7.992,0.08,0.962,0.981
760,5.14,15,21636.808,1924.32,8497.329,175.28,175.28,723.906,643.776,2.078,11.132,1.026,25.961,0.514,0.953,0.981
4510,2.088,6,2850.444,1359.433,6792.561,24.991,24.991,508.302,559.677,1.198,6.478,1.019,12.676,0.141,0.969,0.982
3229,8.206,24,50994.399,3087.529,9318.402,438.071,438.071,922.586,734.339,3.569,18.257,1.041,59.995,1.188,0.963,0.995
2960,9.3,27,72775.034,3560.424,9777.062,644.943,644.943,1087.604,782.381,4.493,22.454,1.05,89.927,1.78,0.962,0.991
6413,6.175,18,29763.811,2306.88,8808.754,245.937,245.937,774.925,667.501,2.508,13.265,1.03,34.313,0.679,0.977,0.985
1555,8.206,24,50995.253,3087.569,9320.737,437.975,437.975,931.53,737.222,3.566,18.313,1.041,60.659,1.201,0.956,0.991
2971,2.088,6,2897.321,1358.517,6835.588,24.847,24.847,505.344,559.703,1.198,6.419,1.019,12.998,0.14,0.962,0.993
8147,3.144,9,8377.25,1386.746,7088.333,60.338,60.338,573.744,577.137,1.39,7.437,1.021,11.81,0.234,0.984,0.996
2454,7.148,21,38982.928,2678.077,9133.484,332.132,332.132,835.465,694.701,2.963,15.506,1.035,44.545,0.882,0.96,0.987
3588,7.148,21,38987.654,2678.073,9129.005,332.243,332.243,836.18,693.813,2.969,15.591,1.035,44.689,0.885,0.965,0.983
9772,8.206,24,50993.241,3087.462,9302.586,438.091,438.091,904.859,725.726,3.591,18.381,1.042,58.985,1.168,0.991,0.994
8925,7.148,21,39007.338,2678.008,9115.462,332.358,332.358,826.124,687.65,2.987,15.753,1.036,44.286,0.877,0.988,0.978
10828,2.088,6,6938.236,1366.862,6739.178,26.43,26.43,610.342,570.556,1.331,7.234,1.02,14.347,0.273,0.996,0.982
3109,5.14,15,21633.476,1924.32,8488.522,175.303,175.303,717.562,641.08,2.081,11.136,1.026,25.663,0.508,0.963,0.982
11241,1.138,3,3234.149,1368.001,6595.894,8.671,8.671,538.834,556.607,1.211,6.594,1.019,8.495,0.177,0.998,0.976
6977,3.144,9,8377.798,1386.75,7099.502,60.333,60.333,575.916,578.189,1.39,7.435,1.02,11.892,0.235,0.979,0.996
3626,9.3,27,72771.58,3560.417,9770.526,645.054,645.054,1087.653,781.84,4.502,22.581,1.05,90.108,1.784,0.965,0.987
7564,5.14,15,21627.706,1924.318,8471.438,175.252,175.252,706.661,636.235,2.086,11.154,1.026,25.156,0.498,0.982,0.983
9168,7.148,21,39007.514,2678.008,9115.498,332.457,332.457,824.444,687.178,2.987,15.739,1.036,44.169,0.875,0.989,0.979
8004,4.161,12,14719.188,1547.449,7725.559,113.749,113.749,641.324,605.62,1.663,8.994,1.023,17.273,0.342,0.984,0.98
2808,1.138,3,3171.407,1415.145,6697.782,11.414,11.414,544.385,564.328,1.215,6.609,1.019,0.0,0.17,0.962,0.975
211,5.14,15,21640.308,1924.354,8515.852,175.337,175.337,709.12,641.479,2.072,10.937,1.026,25.093,0.497,0.95,0.998
4155,7.148,21,38984.501,2678.082,9133.585,332.204,332.204,823.67,691.337,2.963,15.412,1.035,43.734,0.866,0.967,0.994
11305,2.088,6,5180.103,1344.851,6723.328,22.408,22.408,568.694,563.386,1.273,6.909,1.019,23.4,0.228,0.998,0.983
9482,6.175,18,29762.196,2306.784,8798.222,245.95,245.95,765.082,663.76,2.512,13.249,1.031,33.771,0.669,0.99,0.988
8109,1.138,3,6276.127,1335.584,6643.307,6.691,6.691,628.309,568.443,1.296,7.006,1.019,24.474,0.298,0.984,0.992
1229,6.175,18,29793.185,2307.381,8829.091,246.232,246.232,790.993,673.803,2.501,13.283,1.03,35.191,0.697,0.955,0.981
8190,1.138,3,3291.735,1387.701,6633.409,9.717,9.717,542.959,559.85,1.216,6.622,1.019,5.011,0.177,0.985,0.975
9757,2.088,6,6963.694,1371.262,6779.799,27.25,27.25,602.49,570.202,1.332,7.165,1.02,11.706,0.265,0.991,0.993
5244,7.148,21,38991.345,2678.072,9126.617,332.211,332.211,829.434,691.302,2.972,15.58,1.035,44.276,0.877,0.972,0.985
8615,3.144,9,8376.948,1386.745,7083.888,60.328,60.328,572.88,576.719,1.39,7.438,1.021,11.777,0.233,0.986,0.996
3259,2.088,6,3100.542,1375.269,6859.232,27.915,27.915,499.744,559.835,1.209,6.435,1.02,4.21,0.128,0.963,0.999
4501,2.088,6,2853.767,1358.414,6789.434,24.813,24.813,509.529,559.833,1.198,6.484,1.019,13.114,0.142,0.969,0.981
9146,3.144,9,8374.633,1386.732,7029.42,60.298,60.298,586.574,578.825,1.393,7.577,1.02,12.362,0.245,0.989,0.977
10737,1.138,3,4901.786,1403.835,6678.008,10.566,10.566,564.776,561.565,1.272,6.794,1.019,0.229,0.209,0.995,0.998
10257,7.148,21,39000.744,2678.059,9122.157,332.32,332.32,804.765,683.112,2.98,15.464,1.036,42.66,0.845,0.993,0.996
7986,4.161,12,14719.003,1547.448,7721.664,113.748,113.748,643.085,605.943,1.664,9.012,1.023,17.358,0.344,0.984,0.978
4315,5.14,15,21632.656,1924.325,8487.353,175.27,175.27,711.041,639.116,2.081,11.098,1.026,25.321,0.501,0.968,0.986
7489,2.088,6,3168.305,1378.352,6759.018,28.454,28.454,509.571,559.736,1.214,6.595,1.02,2.466,0.135,0.982,0.975
6211,2.088,6,4137.378,1390.636,6814.852,30.791,30.791,528.771,563.431,1.249,6.705,1.02,0.0,0.16,0.976,0.989
1825,8.206,24,50994.638,3087.546,9321.783,437.955,437.955,926.744,736.284,3.564,18.235,1.041,60.237,1.193,0.957,0.995
9564,7.148,21,38998.097,2678.068,9124.064,332.325,332.325,805.69,683.839,2.977,15.437,1.036,42.686,0.845,0.99,0.997
6966,1.138,3,2868.817,1413.115,6708.637,11.181,11.181,514.047,556.531,1.204,6.428,1.019,0.0,0.144,0.979,0.995
9716,6.175,18,29762.247,2306.796,8797.202,246.028,246.028,764.583,663.527,2.512,13.251,1.031,33.747,0.668,0.991,0.988
3785,6.175,18,29786.634,2307.525,8815.096,246.236,246.236,787.378,671.55,2.506,13.331,1.03,35.042,0.694,0.966,0.979
8607,4.161,12,14720.043,1547.457,7750.539,113.757,113.757,627.507,602.813,1.661,8.861,1.023,16.607,0.329,0.986,0.995
3058,8.206,24,50994.957,3087.49,9310.94,437.962,437.962,942.324,737.409,3.585,18.654,1.041,61.836,1.224,0.963,0.976
8350,8.206,24,50993.605,3087.478,9305.004,438.084,438.084,910.844,727.888,3.588,18.4,1.042,59.41,1.176,0.985,0.992
272,3.144,9,8379.536,1386.759,7119.839,60.356,60.356,602.213,586.763,1.389,7.545,1.02,12.932,0.256,0.951,0.979
210,4.161,12,14726.397,1547.48,7839.322,113.817,113.817,641.234,610.157,1.653,8.801,1.022,17.139,0.339,0.95,0.998
8314,8.206,24,50993.777,3087.485,9303.331,438.072,438.072,914.995,728.543,3.591,18.482,1.042,59.798,1.184,0.985,0.988
5716,2.088,6,3566.834,1384.442,6807.853,29.61,29.61,515.865,561.616,1.228,6.607,1.02,0.0,0.143,0.974,0.986
9465,7.148,21,39004.058,2678.035,9118.554,332.456,332.456,816.651,685.679,2.984,15.622,1.036,43.564,0.863,0.99,0.986
3656,3.144,9,8379.004,1386.757,7118.467,60.351,60.351,586.056,581.909,1.389,7.464,1.02,12.291,0.243,0.965,0.991
1842,7.148,21,38977.894,2678.081,9140.018,332.163,332.163,827.416,693.982,2.955,15.329,1.035,43.857,0.868,0.957,0.997
5960,3.144,9,8377.35,1386.747,7085.577,60.33,60.33,584.771,580.342,1.39,7.498,1.02,12.257,0.243,0.975,0.987
8266,5.14,15,21626.599,1924.318,8468.647,175.238,175.238,705.122,635.511,2.087,11.158,1.026,25.086,0.497,0.985,0.983
6775,8.206,24,50993.449,3087.487,9311.717,438.103,438.103,908.355,728.951,3.577,18.232,1.042,59.017,1.168,0.978,0.999
4339,2.088,6,2947.721,1371.685,6820.358,27.242,27.242,501.36,559.452,1.203,6.461,1.019,5.693,0.129,0.968,0.989
4957,8.206,24,50993.974,3087.481,9307.303,437.959,437.959,933.837,734.369,3.588,18.617,1.041,61.23,1.212,0.971,0.979
8510,6.175,18,29761.851,2306.788,8798.287,245.968,245.968,771.449,665.585,2.512,13.296,1.03,34.16,0.676,0.986,0.984
3734,9.3,27,72780.762,3560.429,9779.881,645.07,645.07,1077.361,780.192,4.487,22.262,1.05,88.861,1.759,0.965,0.999
9524,3.144,9,8376.13,1386.74,7067.485,60.324,60.324,573.485,576.313,1.391,7.461,1.021,11.811,0.234,0.99,0.993
8721,1.138,3,5380.046,1361.71,6630.67,8.191,8.191,603.858,566.524,1.278,6.945,1.019,12.789,0.258,0.987,0.982
6567,7.148,21,39000.386,2678.039,9119.181,332.302,332.302,834.752,691.015,2.982,15.754,1.035,44.801,0.887,0.978,0.976
960,7.148,21,38983.839,2678.085,9131.405,332.186,332.186,849.913,698.32,2.965,15.657,1.035,45.574,0.902,0.954,0.977
5340,4.161,12,14722.511,1547.466,7784.011,113.765,113.765,632.885,605.645,1.658,8.839,1.023,16.818,0.333,0.972,0.996
9038,3.144,9,8376.22,1386.74,7066.841,60.316,60.316,575.908,577.017,1.391,7.475,1.021,11.91,0.236,0.988,0.991
1499,6.175,18,29794.123,2307.34,8832.13,246.313,246.313,786.025,672.666,2.5,13.23,1.03,34.875,0.69,0.956,0.985
947,3.144,9,8378.918,1386.755,7105.148,60.35,60.35,603.293,586.545,1.389,7.569,1.02,12.983,0.257,0.954,0.976
8291,3.144,9,8376.033,1386.74,7060.822,60.322,60.322,581.149,578.366,1.391,7.51,1.02,12.125,0.24,0.985,0.986
3121,8.206,24,50996.711,3087.592,9313.55,438.122,438.122,935.033,736.24,3.579,18.505,1.041,61.156,1.211,0.963,0.983
1925,9.3,27,72765.397,3560.409,9773.043,645.058,645.058,1101.907,785.412,4.502,22.726,1.049,91.39,1.809,0.958,0.98
373,5.14,15,21638.493,1924.34,8507.515,175.3,175.3,716.215,642.651,2.074,11.027,1.026,25.507,0.505,0.951,0.99
1245,4.161,12,14724.365,1547.467,7797.08,113.793,113.793,651.954,611.435,1.657,8.939,1.022,17.674,0.35,0.955,0.983
112,5.14,15,21638.563,1924.334,8505.76,175.334,175.334,719.658,643.446,2.075,11.059,1.026,25.698,0.509,0.95,0.987
6482,3.144,9,8377.741,1386.749,7096.36,60.343,60.343,579.14,579.046,1.39,7.455,1.02,12.024,0.238,0.977,0.993
4773,4.161,12,14721.892,1547.46,7766.623,113.777,113.777,643.269,607.822,1.66,8.935,1.022,17.314,0.343,0.97,0.985
4067,9.3,27,72769.1,3560.405,9765.82,644.998,644.998,1088.015,781.546,4.508,22.675,1.05,90.267,1.787,0.967,0.984
9190,2.088,6,5385.282,1394.875,6771.864,31.616,31.616,562.896,567.007,1.292,6.992,1.02,0.0,0.202,0.989,0.982
6975,1.138,3,4182.235,1413.7,6712.542,11.241,11.241,551.906,562.226,1.25,6.675,1.019,0.0,0.189,0.979,0.996
5459,6.175,18,29766.97,2307.01,8811.063,245.955,245.955,779.192,668.913,2.507,13.285,1.03,34.561,0.684,0.973,0.983
4045,5.14,15,21632.232,1924.32,8484.686,175.274,175.274,715.444,640.086,2.082,11.142,1.026,25.568,0.506,0.967,0.982
11441,3.144,9,8375.72,1386.737,7062.573,60.319,60.319,566.22,573.951,1.391,7.43,1.021,11.516,0.228,0.998,0.998
10817,9.3,27,72758.63,3560.364,9729.283,644.689,644.689,1059.822,772.08,4.549,22.975,1.051,88.455,1.751,0.996,0.98
6296,6.175,18,29792.254,2307.372,8823.939,246.283,246.283,761.607,664.976,2.504,13.093,1.031,33.438,0.662,0.976,0.998
1462,5.14,15,21635.83,1924.319,8494.399,175.277,175.277,722.287,643.018,2.079,11.137,1.026,25.888,0.512,0.956,0.981
155,3.144,9,8381.008,1386.767,7155.892,60.375,60.375,592.076,585.046,1.387,7.45,1.02,12.51,0.248,0.95,0.992
3078,1.138,3,5399.391,1321.291,6646.491,6.015,6.015,630.023,571.211,1.267,6.924,1.019,30.659,0.293,0.963,0.979
1668,4.161,12,14723.507,1547.463,7782.402,113.791,113.791,655.468,611.802,1.658,8.986,1.022,17.85,0.353,0.957,0.978
5344,8.206,24,50993.926,3087.506,9313.794,438.0,438.0,915.426,731.31,3.575,18.27,1.042,59.54,1.179,0.972,0.996
1121,6.175,18,29797.5,2307.237,8844.635,246.362,246.362,776.234,670.98,2.496,13.091,1.03,34.215,0.677,0.954,0.995
4376,3.144,9,8378.816,1386.756,7116.737,60.344,60.344,583.124,580.969,1.389,7.451,1.02,12.174,0.241,0.968,0.993
2381,6.175,18,29790.956,2307.465,8821.578,246.214,246.214,790.575,673.021,2.504,13.32,1.03,35.208,0.697,0.96,0.979
6692,6.175,18,29773.542,2307.182,8813.177,246.018,246.018,769.008,666.186,2.507,13.201,1.03,33.935,0.672,0.978,0.99
911,3.144,9,8381.242,1386.769,7164.413,60.377,60.377,585.912,583.497,1.387,7.409,1.02,12.26,0.243,0.953,0.998
9150,7.148,21,39008.878,2677.996,9114.488,332.412,332.412,826.512,687.525,2.989,15.774,1.036,44.334,0.878,0.989,0.977
521,9.3,27,72766.5,3560.412,9780.088,644.742,644.742,1108.927,787.634,4.494,22.687,1.049,91.864,1.818,0.952,0.98
10237,5.14,15,21626.132,1924.333,8471.087,175.219,175.219,690.661,631.645,2.087,11.046,1.027,24.291,0.481,0.993,0.994
6248,3.144,9,8377.864,1386.75,7098.609,60.345,60.345,579.58,579.258,1.39,7.455,1.02,12.041,0.238,0.976,0.993
9638,9.3,27,72759.05,3560.37,9734.032,644.698,644.698,1066.025,773.927,4.544,22.97,1.051,88.94,1.761,0.991,0.979
5994,1.138,3,1649.057,1395.411,6694.392,10.123,10.123,481.927,551.454,1.155,6.182,1.019,0.0,0.105,0.975,0.991
4170,4.161,12,14723.359,1547.468,7795.463,113.79,113.79,635.141,606.728,1.657,8.835,1.023,16.909,0.335,0.967,0.996
8620,8.206,24,50993.362,3087.47,9306.123,438.069,438.069,906.087,726.936,3.586,18.322,1.042,58.988,1.168,0.986,0.996
7152,7.148,21,38994.988,2678.069,9124.794,332.35,332.35,820.1,688.179,2.975,15.538,1.036,43.671,0.865,0.98,0.989
3583,2.088,6,3151.719,1351.083,6798.789,23.502,23.502,522.089,561.652,1.207,6.526,1.019,17.743,0.161,0.965,0.983
2358,1.138,3,5886.518,1325.285,6651.014,6.254,6.254,645.308,574.07,1.282,7.026,1.019,29.803,0.309,0.96,0.977
4328,9.3,27,72771.799,3560.409,9767.105,645.117,645.117,1084.242,780.748,4.505,22.601,1.05,89.868,1.779,0.968,0.987
11718,1.138,3,3303.553,1360.457,6589.002,8.176,8.176,540.266,556.268,1.212,6.597,1.019,9.109,0.18,1.0,0.977
5226,7.148,21,38992.233,2678.07,9125.606,332.264,332.264,831.483,691.643,2.973,15.614,1.035,44.439,0.88,0.972,0.983
2097,1.138,3,1182.563,1385.144,6747.16,9.563,9.563,469.059,550.829,1.134,6.024,1.019,0.0,0.09,0.958,1.0
1042,8.206,24,50997.233,3087.617,9320.103,438.073,438.073,938.01,738.67,3.569,18.411,1.041,61.219,1.212,0.954,0.986
8450,9.3,27,72758.91,3560.365,9737.892,645.014,645.014,1073.185,775.952,4.54,22.992,1.051,89.535,1.772,0.986,0.977
4927,5.14,15,21629.963,1924.308,8475.468,175.255,175.255,719.22,640.193,2.085,11.217,1.026,25.811,0.511,0.971,0.976
6831,1.138,3,3958.895,1332.619,6621.745,6.575,6.575,578.583,562.527,1.227,6.685,1.019,25.616,0.233,0.979,0.98
5334,7.148,21,38987.17,2678.083,9131.657,332.268,332.268,819.351,689.624,2.966,15.412,1.036,43.476,0.861,0.972,0.995
8169,7.148,21,38993.506,2678.08,9127.402,332.313,332.313,808.554,685.472,2.973,15.401,1.036,42.816,0.848,0.984,0.998
5523,7.148,21,38989.768,2678.078,9128.657,332.295,332.295,823.695,690.149,2.97,15.499,1.036,43.839,0.868,0.973,0.99
139,5.14,15,21639.049,1924.339,8508.51,175.304,175.304,716.754,642.905,2.074,11.026,1.026,25.532,0.505,0.95,0.99
11908,2.088,6,4175.745,1344.343,6755.594,22.28,22.28,529.279,556.873,1.24,6.631,1.02,21.848,0.185,1.0,0.998
4274,9.3,27,72765.687,3560.402,9762.187,644.854,644.854,1089.538,781.629,4.513,22.764,1.05,90.505,1.792,0.968,0.981
356,6.175,18,29796.476,2307.274,8840.725,246.351,246.351,785.401,673.246,2.497,13.179,1.03,34.79,0.689,0.951,0.988
723,4.161,12,14724.149,1547.464,7789.667,113.797,113.797,658.247,612.854,1.658,8.992,1.022,17.967,0.356,0.953,0.977
1656,1.138,3,1919.074,1313.549,6645.863,5.602,5.602,535.05,558.083,1.154,6.299,1.019,29.695,0.18,0.957,0.977
5250,4.161,12,14721.669,1547.459,7764.085,113.758,113.758,641.487,607.229,1.66,8.928,1.022,17.235,0.341,0.972,0.986
2115,1.138,3,7152.314,1350.881,6668.055,7.688,7.688,673.867,579.321,1.324,7.265,1.019,18.37,0.336,0.959,0.976
2703,4.161,12,14723.696,1547.468,7795.22,113.79,113.79,643.905,609.147,1.657,8.891,1.022,17.31,0.343,0.961,0.989
422,9.3,27,72778.089,3560.441,9792.452,644.816,644.816,1096.959,785.983,4.474,22.277,1.049,90.381,1.789,0.951,0.995
2050,8.206,24,50994.651,3087.546,9320.813,438.04,438.04,927.065,736.11,3.566,18.259,1.041,60.292,1.194,0.958,0.994
10831,5.14,15,21622.969,1924.314,8457.669,175.213,175.213,700.502,633.067,2.091,11.186,1.027,24.885,0.493,0.996,0.982
8657,9.3,27,72777.18,3560.414,9757.965,644.851,644.851,1053.292,772.46,4.513,22.373,1.051,87.127,1.725,0.986,1.0
6588,1.138,3,4802.511,1338.3,6625.992,6.9,6.9,601.852,566.135,1.254,6.839,1.019,23.475,0.259,0.978,0.979
1114,8.206,24,50994.961,3087.56,9323.084,438.038,438.038,929.859,737.416,3.562,18.244,1.041,60.454,1.197,0.954,0.994
3547,2.088,6,3517.423,1347.031,6786.162,22.788,22.788,537.52,563.918,1.219,6.623,1.019,20.812,0.18,0.965,0.979
3255,7.148,21,38980.864,2678.083,9137.556,332.121,332.121,822.368,691.926,2.958,15.332,1.035,43.562,0.862,0.963,0.998
8,9.3,27,72763.329,3560.395,9778.528,644.905,644.905,1115.797,789.094,4.498,22.811,1.049,92.556,1.832,0.95,0.975
9726,7.148,21,39003.043,2678.044,9119.591,332.435,332.435,812.988,684.874,2.983,15.575,1.036,43.287,0.857,0.991,0.989
7381,2.088,6,4858.975,1394.28,6806.126,31.502,31.502,546.455,565.528,1.274,6.846,1.02,0.0,0.182,0.981,0.989
7531,8.206,24,50991.868,3087.386,9301.124,438.085,438.085,926.489,730.966,3.596,18.657,1.042,60.797,1.204,0.982,0.979
4538,3.144,9,8377.932,1386.75,7093.994,60.344,60.344,589.058,581.924,1.39,7.509,1.02,12.424,0.246,0.969,0.985
